,Mouse,Amplitude,Time,Freezing
0,RLI8-1,0mA,PreShock1,0.0
1,RLI8-2,0mA,PreShock1,0.0
2,RLI8-4,0mA,PreShock1,5.0
3,RLI8-5,0mA,PreShock1,0.0
4,RLI8-7,0mA,PreShock1,0.0
5,RLI8-8,0mA,PreShock1,0.0
6,RLI8-1,0mA,PreShock2,0.0
7,RLI8-2,0mA,PreShock2,1.7777777777777777
8,RLI8-4,0mA,PreShock2,7.555555555555555
9,RLI8-5,0mA,PreShock2,0.0
10,RLI8-7,0mA,PreShock2,0.0
11,RLI8-8,0mA,PreShock2,0.0
12,RLI8-1,0mA,PreShock3,0.0
13,RLI8-2,0mA,PreShock3,1.7777777777777777
14,RLI8-4,0mA,PreShock3,1.7777777777777777
15,RLI8-5,0mA,PreShock3,7.111111111111111
16,RLI8-7,0mA,PreShock3,6.111111111111111
17,RLI8-8,0mA,PreShock3,2.4444444444444446
18,RLI8-1,0mA,PreShock4,1.6666666666666667
19,RLI8-2,0mA,PreShock4,1.8888888888888888
20,RLI8-4,0mA,PreShock4,10.222222222222221
21,RLI8-5,0mA,PreShock4,9.333333333333334
22,RLI8-7,0mA,PreShock4,0.0
23,RLI8-8,0mA,PreShock4,0.0
24,RLI8-1,0mA,PostShock1_1,0.0
25,RLI8-2,0mA,PostShock1_1,2.619047619047619
26,RLI8-4,0mA,PostShock1_1,20.357142857142858
27,RLI8-5,0mA,PostShock1_1,7.261904761904762
28,RLI8-7,0mA,PostShock1_1,3.9285714285714284
29,RLI8-8,0mA,PostShock1_1,7.142857142857143
30,RLI8-1,0mA,PostShock1_2,2.2222222222222223
31,RLI8-2,0mA,PostShock1_2,0.0
32,RLI8-4,0mA,PostShock1_2,6.222222222222222
33,RLI8-5,0mA,PostShock1_2,0.0
34,RLI8-7,0mA,PostShock1_2,0.0
35,RLI8-8,0mA,PostShock1_2,0.0
36,RLI8-1,0mA,PostShock2_1,2.9761904761904763
37,RLI8-2,0mA,PostShock2_1,0.0
38,RLI8-4,0mA,PostShock2_1,6.071428571428571
39,RLI8-5,0mA,PostShock2_1,11.785714285714286
40,RLI8-7,0mA,PostShock2_1,0.0
41,RLI8-8,0mA,PostShock2_1,6.309523809523809
42,RLI8-1,0mA,PostShock2_2,0.0
43,RLI8-2,0mA,PostShock2_2,0.0
44,RLI8-4,0mA,PostShock2_2,0.0
45,RLI8-5,0mA,PostShock2_2,8.222222222222221
46,RLI8-7,0mA,PostShock2_2,0.0
47,RLI8-8,0mA,PostShock2_2,6.666666666666667
48,RLI8-1,0mA,PostShock3_1,1.7763845350052248
49,RLI8-2,0mA,PostShock3_1,3.5527690700104495
50,RLI8-4,0mA,PostShock3_1,4.911180773249739
51,RLI8-5,0mA,PostShock3_1,8.24634655532359
52,RLI8-7,0mA,PostShock3_1,0.0
53,RLI8-8,0mA,PostShock3_1,14.121338912133892
