,Mouse,Amplitude,Time,Motion
0,RLI8-1,0mA,PreShock1,1769.3833333333334
1,RLI8-2,0mA,PreShock1,1061.5666666666666
2,RLI8-4,0mA,PreShock1,698.2166666666667
3,RLI8-5,0mA,PreShock1,666.25
4,RLI8-7,0mA,PreShock1,1028.25
5,RLI8-8,0mA,PreShock1,460.43333333333334
6,RLI8-1,0mA,Shock1,1309.3
7,RLI8-2,0mA,Shock1,652.2333333333333
8,RLI8-4,0mA,Shock1,1068.6833333333334
9,RLI8-5,0mA,Shock1,1889.8166666666666
10,RLI8-7,0mA,Shock1,1423.7666666666667
11,RLI8-8,0mA,Shock1,254.95
12,RLI8-1,0mA,PreShock2,1573.7
13,RLI8-2,0mA,PreShock2,932.15
14,RLI8-4,0mA,PreShock2,622.3166666666667
15,RLI8-5,0mA,PreShock2,920.0166666666667
16,RLI8-7,0mA,PreShock2,784.0833333333334
17,RLI8-8,0mA,PreShock2,1582.5833333333333
18,RLI8-1,0mA,Shock2,946.8166666666667
19,RLI8-2,0mA,Shock2,961.0
20,RLI8-4,0mA,Shock2,554.2833333333333
21,RLI8-5,0mA,Shock2,636.9333333333333
22,RLI8-7,0mA,Shock2,1370.65
23,RLI8-8,0mA,Shock2,1630.15
24,RLI8-1,0mA,PreShock3,731.4666666666667
25,RLI8-2,0mA,PreShock3,788.0833333333334
26,RLI8-4,0mA,PreShock3,1305.8333333333333
27,RLI8-5,0mA,PreShock3,1467.5166666666667
28,RLI8-7,0mA,PreShock3,1126.9666666666667
29,RLI8-8,0mA,PreShock3,178.6
30,RLI8-1,0mA,Shock3,1760.0666666666666
31,RLI8-2,0mA,Shock3,1089.05
32,RLI8-4,0mA,Shock3,1173.1
33,RLI8-5,0mA,Shock3,916.35
34,RLI8-7,0mA,Shock3,1520.3666666666666
35,RLI8-8,0mA,Shock3,902.6
