,Mouse,Amplitude,TimeBin,Motion
0,RLI8-1,0mA,1,2.908715823588514
1,RLI8-2,0mA,1,1.7757204190264688
2,RLI8-4,0mA,1,2.597214196837945
3,RLI8-5,0mA,1,3.0315722377325294
4,RLI8-7,0mA,1,3.724039187540022
5,RLI8-8,0mA,1,0.9021298319137994
6,RLI8-1,0mA,2,3.158099303935922
7,RLI8-2,0mA,2,2.3019515127104224
8,RLI8-4,0mA,2,2.6898737813824347
9,RLI8-5,0mA,2,3.19076311369832
10,RLI8-7,0mA,2,3.5694989711440286
11,RLI8-8,0mA,2,0.9726214956205043
12,RLI8-1,0mA,3,3.2047728261741057
13,RLI8-2,0mA,3,2.437424133749444
14,RLI8-4,0mA,3,2.632554205683289
15,RLI8-5,0mA,3,2.879440870253625
16,RLI8-7,0mA,3,3.732434222951002
17,RLI8-8,0mA,3,1.7864251937205333
18,RLI8-1,0mA,4,3.248220934519159
19,RLI8-2,0mA,4,1.2152802975998627
20,RLI8-4,0mA,4,2.390329384936421
21,RLI8-5,0mA,4,3.092780949898004
22,RLI8-7,0mA,4,3.1605272177580312
23,RLI8-8,0mA,4,1.1090749800906348
24,RLI8-1,0mA,5,2.7699006487968885
25,RLI8-2,0mA,5,1.9519632357064076
26,RLI8-4,0mA,5,1.6419207610679638
27,RLI8-5,0mA,5,2.7296818363362982
28,RLI8-7,0mA,5,3.273364862247788
29,RLI8-8,0mA,5,0.7285636283467288
30,RLI8-1,0mA,6,2.828863946505189
31,RLI8-2,0mA,6,2.5119937570443915
32,RLI8-4,0mA,6,2.6438221606415295
33,RLI8-5,0mA,6,2.9797111399176552
34,RLI8-7,0mA,6,3.581058136209175
35,RLI8-8,0mA,6,1.1301719832137036
36,RLI8-1,0mA,7,3.217192605520665
37,RLI8-2,0mA,7,1.5042604205477907
38,RLI8-4,0mA,7,2.763864094601684
39,RLI8-5,0mA,7,1.8776802197961722
40,RLI8-7,0mA,7,3.5967642820345165
41,RLI8-8,0mA,7,1.567155698985933
42,RLI8-1,0mA,8,3.105801347848932
43,RLI8-2,0mA,8,2.5501807434579966
44,RLI8-4,0mA,8,1.9634427887127697
45,RLI8-5,0mA,8,2.047755467098928
46,RLI8-7,0mA,8,3.328446311571479
47,RLI8-8,0mA,8,1.6590652183398247
48,RLI8-1,0mA,9,3.1957852702089142
49,RLI8-2,0mA,9,2.6638654041038397
50,RLI8-4,0mA,9,2.133714476626845
51,RLI8-5,0mA,9,3.033207517047938
52,RLI8-7,0mA,9,3.601955651627567
53,RLI8-8,0mA,9,2.1449646995267457
54,RLI8-1,0mA,10,3.541665327390999
55,RLI8-2,0mA,10,2.1714351838956962
56,RLI8-4,0mA,10,0.49985683850128065
57,RLI8-5,0mA,10,2.6244629658379854
58,RLI8-7,0mA,10,2.3507305377192016
59,RLI8-8,0mA,10,1.0392262237502066
60,RLI8-1,0mA,11,3.401829110746079
61,RLI8-2,0mA,11,1.70535812488274
62,RLI8-4,0mA,11,2.6991503113929487
63,RLI8-5,0mA,11,2.512281754150709
64,RLI8-7,0mA,11,3.1322279988755293
65,RLI8-8,0mA,11,2.2887501587427854
66,RLI8-1,0mA,12,3.830256469603438
67,RLI8-2,0mA,12,1.77568106158057
68,RLI8-4,0mA,12,2.7880165795593745
69,RLI8-5,0mA,12,2.5578422014010576
70,RLI8-7,0mA,12,3.9429002551173578
71,RLI8-8,0mA,12,1.5564772958221473
72,RLI8-1,0mA,13,2.4618657243094284
73,RLI8-2,0mA,13,2.3179134808751707
74,RLI8-4,0mA,13,2.238352275103681
75,RLI8-5,0mA,13,3.0050925798423465
76,RLI8-7,0mA,13,3.3040722968572735
77,RLI8-8,0mA,13,1.4251707815581272
78,RLI8-1,0mA,14,3.0810182637745664
79,RLI8-2,0mA,14,1.9601833291776962
80,RLI8-4,0mA,14,1.9769417348939016
81,RLI8-5,0mA,14,2.798876193103282
82,RLI8-7,0mA,14,3.1123963915132475
83,RLI8-8,0mA,14,2.155981478796657
84,RLI8-1,0mA,15,3.5604122650067556
85,RLI8-2,0mA,15,1.7046218296993934
86,RLI8-4,0mA,15,2.2357933965228365
87,RLI8-5,0mA,15,1.744006078842453
88,RLI8-7,0mA,15,3.151517820136701
89,RLI8-8,0mA,15,2.1708066413197766
90,RLI8-1,0mA,16,3.530607779857205
91,RLI8-2,0mA,16,1.0534250066053623
92,RLI8-4,0mA,16,2.353421049537777
93,RLI8-5,0mA,16,2.0895800419645094
94,RLI8-7,0mA,16,2.9781998723147094
95,RLI8-8,0mA,16,2.4332722709810866
96,RLI8-1,0mA,17,3.11071310031575
97,RLI8-2,0mA,17,1.6990960245945226
98,RLI8-4,0mA,17,1.7668574369645484
99,RLI8-5,0mA,17,1.672830425004576
100,RLI8-7,0mA,17,3.438852695425257
101,RLI8-8,0mA,17,2.1867443132488815
102,RLI8-1,0mA,18,3.089075248373876
103,RLI8-2,0mA,18,2.1544047355657705
104,RLI8-4,0mA,18,2.2019010703904103
105,RLI8-5,0mA,18,2.839871113491373
106,RLI8-7,0mA,18,2.88492696848161
107,RLI8-8,0mA,18,2.1648300571481625
108,RLI8-1,0mA,19,2.017945487382377
109,RLI8-2,0mA,19,0.7885684388623314
110,RLI8-4,0mA,19,1.852027256894857
111,RLI8-5,0mA,19,3.0259152208796283
112,RLI8-7,0mA,19,3.352097664910731
113,RLI8-8,0mA,19,1.9913232228980493
114,RLI8-1,0mA,20,2.2640679827010266
115,RLI8-2,0mA,20,2.43755967264841
116,RLI8-4,0mA,20,2.663565782894758
117,RLI8-5,0mA,20,2.692826286724031
118,RLI8-7,0mA,20,2.9483063001920238
119,RLI8-8,0mA,20,2.154039083138278
120,RLI8-1,0mA,21,2.546794844195376
121,RLI8-2,0mA,21,2.5995885421555256
122,RLI8-4,0mA,21,1.7215266997861023
123,RLI8-5,0mA,21,2.800826626531205
124,RLI8-7,0mA,21,2.5473020982304564
125,RLI8-8,0mA,21,0.6470876306682772
126,RLI8-1,0mA,22,1.851115342731117
127,RLI8-2,0mA,22,2.3063944104642773
128,RLI8-4,0mA,22,1.5682943630268134
129,RLI8-5,0mA,22,2.302124968467375
130,RLI8-7,0mA,22,2.6635459432776987
131,RLI8-8,0mA,22,1.652060873679932
132,RLI8-1,0mA,23,2.3663155785644223
133,RLI8-2,0mA,23,2.6980623026067416
134,RLI8-4,0mA,23,2.6929150848935706
135,RLI8-5,0mA,23,2.8324496504688206
136,RLI8-7,0mA,23,3.036705078395835
