,Mouse,Amplitude,TrueVsShuffle,Accuracy
0,RLI8-1,0mA,True,0.742793187347932
1,RLI8-1,0mA,Shuffle,0.49945012165450126
2,RLI8-2,0mA,True,0.537250608272506
3,RLI8-2,0mA,Shuffle,0.49809975669099754
4,RLI8-4,0mA,True,0.8269172749391727
5,RLI8-4,0mA,Shuffle,0.49902433090024334
6,RLI8-5,0mA,True,0.6808905109489051
7,RLI8-5,0mA,Shuffle,0.4998272506082725
8,RLI8-7,0mA,True,0.8680535279805354
9,RLI8-7,0mA,Shuffle,0.5001021897810218
10,RLI8-8,0mA,True,0.88776399026764
11,RLI8-8,0mA,Shuffle,0.4983114355231144
