,Mouse,Amplitude,EnsembleCombo,Fraction
0,RLI8-1,0mA,Overlap,5.1157407407407405
1,RLI8-1,0mA,Neutral,3.7231481481481485
2,RLI8-1,0mA,Aversive,2.0342592592592594
0,RLI8-2,0mA,Overlap,4.624074074074074
1,RLI8-2,0mA,Neutral,1.0453703703703703
2,RLI8-2,0mA,Aversive,1.0675925925925926
0,RLI8-4,0mA,Overlap,4.394444444444445
1,RLI8-4,0mA,Neutral,4.741666666666667
2,RLI8-4,0mA,Aversive,4.7444444444444445
0,RLI8-5,0mA,Overlap,4.678703703703704
1,RLI8-5,0mA,Neutral,5.526851851851852
2,RLI8-5,0mA,Aversive,5.096296296296296
0,RLI8-7,0mA,Overlap,4.650925925925926
1,RLI8-7,0mA,Neutral,4.692592592592593
2,RLI8-7,0mA,Aversive,4.819444444444445
0,RLI8-8,0mA,Overlap,4.574074074074074
1,RLI8-8,0mA,Neutral,4.910185185185186
2,RLI8-8,0mA,Aversive,4.934259259259259
