,Mouse,Amplitude,EnsembleCombo,Fraction
0,RLI8-1,0mA,Overlap,7.720232820135013
1,RLI8-1,0mA,Neutral,2.702718523046599
2,RLI8-1,0mA,Aversive,2.8554278930250483
0,RLI8-2,0mA,Overlap,6.43120917551676
1,RLI8-2,0mA,Neutral,6.333061731746222
2,RLI8-2,0mA,Aversive,4.400878138184054
0,RLI8-4,0mA,Overlap,4.1720144606309235
1,RLI8-4,0mA,Neutral,2.0514337552275324
2,RLI8-4,0mA,Aversive,1.5287604560628698
0,RLI8-5,0mA,Overlap,5.484751412299754
1,RLI8-5,0mA,Neutral,1.8875363947308572
2,RLI8-5,0mA,Aversive,2.1852131008194653
0,RLI8-7,0mA,Overlap,3.735472241439891
1,RLI8-7,0mA,Neutral,1.6756873908829217
2,RLI8-7,0mA,Aversive,1.3838547901616276
0,RLI8-8,0mA,Overlap,3.649623077086921
1,RLI8-8,0mA,Neutral,1.1703553031114158
2,RLI8-8,0mA,Aversive,1.7469677723024502
