,Mouse,Amplitude,Context,Freezing
0,Ca_EEG_Pilot1,1.5mA,Neutral,54.166666666666664
1,Ca_EEG_Pilot2,1.5mA,Novel,15.04110197733837
2,Ca_EEG2-1,1.5mA,Neutral,40.97376611827479
3,Ca_EEG2-2,1.5mA,Neutral,48.02178261835964
4,Ca_EEG2-3,1.5mA,Neutral,40.375639030895755
5,Ca_EEG3-1,0.25mA,Neutral,21.91841725019451
6,Ca_EEG3-2,0.25mA,Neutral,33.62595843982665
7,Ca_EEG3-3,0.25mA,Neutral,17.817050127820384
8,Ca_EEG3-4,0.25mA,Novel,14.60486828942981
0,Ca_EEG_Pilot1,1.5mA,Novel,36.11419684514552
1,Ca_EEG_Pilot2,1.5mA,Neutral,26.03622624736082
2,Ca_EEG2-1,1.5mA,Novel,30.94020893531896
3,Ca_EEG2-2,1.5mA,Novel,46.28209403134378
4,Ca_EEG2-3,1.5mA,Novel,24.747194132681408
5,Ca_EEG3-1,0.25mA,Novel,17.501944660517836
6,Ca_EEG3-2,0.25mA,Novel,25.983551900422317
7,Ca_EEG3-3,0.25mA,Novel,21.702411379042115
8,Ca_EEG3-4,0.25mA,Neutral,16.903756390308956
