,Mouse,Amplitude,Miniscope,TimeBin,Sleep,Proportion
0,Ca_EEG2-1,1.5mA,Miniscope,0.0,sleep,27.45424292845258
1,Ca_EEG2-1,1.5mA,Miniscope,0.0,wake,72.54575707154743
2,Ca_EEG2-1,1.5mA,Miniscope,1.0,sleep,39.10149750415974
3,Ca_EEG2-1,1.5mA,Miniscope,1.0,wake,60.89850249584027
4,Ca_EEG2-1,1.5mA,Miniscope,2.0,sleep,77.3710482529118
5,Ca_EEG2-1,1.5mA,Miniscope,2.0,wake,22.628951747088184
6,Ca_EEG2-1,1.5mA,Miniscope,3.0,sleep,0.6655574043261231
7,Ca_EEG2-1,1.5mA,Miniscope,3.0,wake,99.33444259567388
8,Ca_EEG2-1,1.5mA,Miniscope,4.0,sleep,80.0332778702163
9,Ca_EEG2-1,1.5mA,Miniscope,4.0,wake,19.966722129783694
10,Ca_EEG2-1,1.5mA,Miniscope,5.0,sleep,35.94009983361065
11,Ca_EEG2-1,1.5mA,Miniscope,5.0,wake,64.05990016638935
12,Ca_EEG2-1,1.5mA,Miniscope,6.0,sleep,0.33277870216306155
13,Ca_EEG2-1,1.5mA,Miniscope,6.0,wake,99.66722129783693
14,Ca_EEG2-1,1.5mA,Miniscope,7.0,sleep,39.43427620632279
15,Ca_EEG2-1,1.5mA,Miniscope,7.0,wake,60.56572379367721
16,Ca_EEG2-1,1.5mA,Miniscope,8.0,sleep,48.08652246256239
17,Ca_EEG2-1,1.5mA,Miniscope,8.0,wake,51.9134775374376
18,Ca_EEG2-1,1.5mA,Miniscope,9.0,sleep,1.3311148086522462
19,Ca_EEG2-1,1.5mA,Miniscope,9.0,wake,98.66888519134775
20,Ca_EEG2-1,1.5mA,Miniscope,10.0,sleep,75.2079866888519
21,Ca_EEG2-1,1.5mA,Miniscope,10.0,wake,24.792013311148086
22,Ca_EEG2-1,1.5mA,Miniscope,11.0,sleep,22.628951747088184
23,Ca_EEG2-1,1.5mA,Miniscope,11.0,wake,77.3710482529118
24,Ca_EEG2-1,1.5mA,Miniscope,12.0,sleep,0.16638935108153077
25,Ca_EEG2-1,1.5mA,Miniscope,12.0,wake,99.83361064891847
26,Ca_EEG2-1,1.5mA,Miniscope,13.0,sleep,0.16638935108153077
27,Ca_EEG2-1,1.5mA,Miniscope,13.0,wake,99.83361064891847
28,Ca_EEG2-1,1.5mA,Miniscope,14.0,sleep,0.0
29,Ca_EEG2-1,1.5mA,Miniscope,14.0,wake,100.0
30,Ca_EEG2-1,1.5mA,Miniscope,15.0,sleep,6.322795341098169
31,Ca_EEG2-1,1.5mA,Miniscope,15.0,wake,93.67720465890183
32,Ca_EEG2-1,1.5mA,Miniscope,16.0,sleep,0.0
33,Ca_EEG2-1,1.5mA,Miniscope,16.0,wake,100.0
34,Ca_EEG2-1,1.5mA,Miniscope,17.0,sleep,0.0
35,Ca_EEG2-1,1.5mA,Miniscope,17.0,wake,100.0
36,Ca_EEG2-1,1.5mA,Miniscope,18.0,sleep,58.73544093178036
37,Ca_EEG2-1,1.5mA,Miniscope,18.0,wake,41.26455906821963
38,Ca_EEG2-1,1.5mA,Miniscope,19.0,sleep,58.23627287853577
39,Ca_EEG2-1,1.5mA,Miniscope,19.0,wake,41.76372712146423
40,Ca_EEG2-1,1.5mA,Miniscope,20.0,sleep,25.124792013311147
41,Ca_EEG2-1,1.5mA,Miniscope,20.0,wake,74.87520798668885
42,Ca_EEG2-1,1.5mA,Miniscope,21.0,sleep,18.136439267886853
43,Ca_EEG2-1,1.5mA,Miniscope,21.0,wake,81.86356073211314
44,Ca_EEG2-1,1.5mA,Miniscope,22.0,sleep,1.1647254575707155
45,Ca_EEG2-1,1.5mA,Miniscope,22.0,wake,98.83527454242929
46,Ca_EEG2-1,1.5mA,Miniscope,23.0,sleep,24.792013311148082
47,Ca_EEG2-1,1.5mA,Miniscope,23.0,wake,75.20798668885192
48,Ca_EEG2-2,1.5mA,Miniscope,0.0,sleep,29.783693843594012
49,Ca_EEG2-2,1.5mA,Miniscope,0.0,wake,70.21630615640599
50,Ca_EEG2-2,1.5mA,Miniscope,1.0,sleep,64.05990016638935
51,Ca_EEG2-2,1.5mA,Miniscope,1.0,wake,35.94009983361065
52,Ca_EEG2-2,1.5mA,Miniscope,2.0,sleep,17.970049916805326
53,Ca_EEG2-2,1.5mA,Miniscope,2.0,wake,82.02995008319468
54,Ca_EEG2-2,1.5mA,Miniscope,3.0,sleep,82.02995008319466
55,Ca_EEG2-2,1.5mA,Miniscope,3.0,wake,17.970049916805326
56,Ca_EEG2-2,1.5mA,Miniscope,4.0,sleep,36.57142857142857
57,Ca_EEG2-2,1.5mA,Miniscope,4.0,wake,63.42857142857142
58,Ca_EEG2-2,1.5mA,Miniscope,5.0,sleep,89.35108153078203
59,Ca_EEG2-2,1.5mA,Miniscope,5.0,wake,10.64891846921797
60,Ca_EEG2-2,1.5mA,Miniscope,6.0,sleep,78.53577371048252
61,Ca_EEG2-2,1.5mA,Miniscope,6.0,wake,21.46422628951747
62,Ca_EEG2-2,1.5mA,Miniscope,7.0,sleep,94.675540765391
63,Ca_EEG2-2,1.5mA,Miniscope,7.0,wake,5.324459234608985
64,Ca_EEG2-2,1.5mA,Miniscope,8.0,sleep,61.39767054908486
65,Ca_EEG2-2,1.5mA,Miniscope,8.0,wake,38.60232945091514
66,Ca_EEG2-2,1.5mA,Miniscope,9.0,sleep,71.8801996672213
67,Ca_EEG2-2,1.5mA,Miniscope,9.0,wake,28.1198003327787
68,Ca_EEG2-2,1.5mA,Miniscope,10.0,sleep,69.55074875207987
69,Ca_EEG2-2,1.5mA,Miniscope,10.0,wake,30.449251247920134
70,Ca_EEG2-2,1.5mA,Miniscope,11.0,sleep,60.399334442595666
71,Ca_EEG2-2,1.5mA,Miniscope,11.0,wake,39.60066555740433
72,Ca_EEG2-2,1.5mA,Miniscope,12.0,sleep,5.490848585690515
73,Ca_EEG2-2,1.5mA,Miniscope,12.0,wake,94.50915141430949
74,Ca_EEG2-2,1.5mA,Miniscope,13.0,sleep,0.0
75,Ca_EEG2-2,1.5mA,Miniscope,13.0,wake,100.0
76,Ca_EEG2-2,1.5mA,Miniscope,14.0,sleep,24.958402662229616
77,Ca_EEG2-2,1.5mA,Miniscope,14.0,wake,75.04159733777038
78,Ca_EEG2-2,1.5mA,Miniscope,15.0,sleep,18.63560732113145
79,Ca_EEG2-2,1.5mA,Miniscope,15.0,wake,81.36439267886855
80,Ca_EEG2-2,1.5mA,Miniscope,16.0,sleep,50.41597337770382
81,Ca_EEG2-2,1.5mA,Miniscope,16.0,wake,49.58402662229617
82,Ca_EEG2-2,1.5mA,Miniscope,17.0,sleep,11.980033277870216
83,Ca_EEG2-2,1.5mA,Miniscope,17.0,wake,88.01996672212978
84,Ca_EEG2-2,1.5mA,Miniscope,18.0,sleep,37.60399334442596
85,Ca_EEG2-2,1.5mA,Miniscope,18.0,wake,62.39600665557404
86,Ca_EEG2-2,1.5mA,Miniscope,19.0,sleep,94.50915141430949
87,Ca_EEG2-2,1.5mA,Miniscope,19.0,wake,5.490848585690515
88,Ca_EEG2-2,1.5mA,Miniscope,20.0,sleep,88.35274542429283
89,Ca_EEG2-2,1.5mA,Miniscope,20.0,wake,11.647254575707153
90,Ca_EEG2-2,1.5mA,Miniscope,21.0,sleep,77.3710482529118
91,Ca_EEG2-2,1.5mA,Miniscope,21.0,wake,22.628951747088184
92,Ca_EEG2-2,1.5mA,Miniscope,22.0,sleep,44.09317803660566
93,Ca_EEG2-2,1.5mA,Miniscope,22.0,wake,55.906821963394336
94,Ca_EEG2-2,1.5mA,Miniscope,23.0,sleep,82.19633943427621
95,Ca_EEG2-2,1.5mA,Miniscope,23.0,wake,17.803660565723796
96,Ca_EEG2-3,1.5mA,Miniscope,0.0,sleep,62.22961730449251
97,Ca_EEG2-3,1.5mA,Miniscope,0.0,wake,37.770382695507486
98,Ca_EEG2-3,1.5mA,Miniscope,1.0,sleep,67.38768718801997
99,Ca_EEG2-3,1.5mA,Miniscope,1.0,wake,32.61231281198003
100,Ca_EEG2-3,1.5mA,Miniscope,2.0,sleep,79.36772046589019
101,Ca_EEG2-3,1.5mA,Miniscope,2.0,wake,20.632279534109816
102,Ca_EEG2-3,1.5mA,Miniscope,3.0,sleep,76.03993344425957
103,Ca_EEG2-3,1.5mA,Miniscope,3.0,wake,23.960066555740433
104,Ca_EEG2-3,1.5mA,Miniscope,4.0,sleep,88.85191347753744
105,Ca_EEG2-3,1.5mA,Miniscope,4.0,wake,11.148086522462561
106,Ca_EEG2-3,1.5mA,Miniscope,5.0,sleep,62.06322795341098
107,Ca_EEG2-3,1.5mA,Miniscope,5.0,wake,37.93677204658902
108,Ca_EEG2-3,1.5mA,Miniscope,6.0,sleep,56.2396006655574
109,Ca_EEG2-3,1.5mA,Miniscope,6.0,wake,43.760399334442596
110,Ca_EEG2-3,1.5mA,Miniscope,7.0,sleep,80.5324459234609
111,Ca_EEG2-3,1.5mA,Miniscope,7.0,wake,19.467554076539102
112,Ca_EEG2-3,1.5mA,Miniscope,8.0,sleep,58.73544093178037
113,Ca_EEG2-3,1.5mA,Miniscope,8.0,wake,41.26455906821963
114,Ca_EEG2-3,1.5mA,Miniscope,9.0,sleep,70.04991680532446
115,Ca_EEG2-3,1.5mA,Miniscope,9.0,wake,29.950083194675543
116,Ca_EEG2-3,1.5mA,Miniscope,10.0,sleep,50.389105058365764
117,Ca_EEG2-3,1.5mA,Miniscope,10.0,wake,49.61089494163424
118,Ca_EEG2-3,1.5mA,Miniscope,11.0,sleep,62.56239600665558
119,Ca_EEG2-3,1.5mA,Miniscope,11.0,wake,37.437603993344425
120,Ca_EEG2-3,1.5mA,Miniscope,12.0,sleep,9.983361064891847
121,Ca_EEG2-3,1.5mA,Miniscope,12.0,wake,90.01663893510815
122,Ca_EEG2-3,1.5mA,Miniscope,13.0,sleep,20.46589018302829
123,Ca_EEG2-3,1.5mA,Miniscope,13.0,wake,79.53410981697171
124,Ca_EEG2-3,1.5mA,Miniscope,14.0,sleep,10.8153078202995
125,Ca_EEG2-3,1.5mA,Miniscope,14.0,wake,89.18469217970049
126,Ca_EEG2-3,1.5mA,Miniscope,15.0,sleep,25.62396006655574
127,Ca_EEG2-3,1.5mA,Miniscope,15.0,wake,74.37603993344426
128,Ca_EEG2-3,1.5mA,Miniscope,16.0,sleep,35.27454242928452
129,Ca_EEG2-3,1.5mA,Miniscope,16.0,wake,64.72545757071548
130,Ca_EEG2-3,1.5mA,Miniscope,17.0,sleep,66.55574043261231
131,Ca_EEG2-3,1.5mA,Miniscope,17.0,wake,33.44425956738768
132,Ca_EEG2-3,1.5mA,Miniscope,18.0,sleep,45.59068219633943
133,Ca_EEG2-3,1.5mA,Miniscope,18.0,wake,54.409317803660564
134,Ca_EEG2-3,1.5mA,Miniscope,19.0,sleep,54.5757071547421
135,Ca_EEG2-3,1.5mA,Miniscope,19.0,wake,45.4242928452579
