,Mouse,Amplitude,Miniscope,TimeBin,SleepState,Proportion,Sleep
0,Ca_EEG_Pilot2,1.5mA,Miniscope,0.0,nrem,67.55407653910149,sleep
1,Ca_EEG_Pilot2,1.5mA,Miniscope,0.0,wake,29.28452579034942,wake
2,Ca_EEG_Pilot2,1.5mA,Miniscope,0.0,rem,3.1613976705490847,sleep
0,Ca_EEG_Pilot2,1.5mA,Miniscope,1.0,nrem,59.900166389351085,sleep
1,Ca_EEG_Pilot2,1.5mA,Miniscope,1.0,wake,35.44093178036606,wake
2,Ca_EEG_Pilot2,1.5mA,Miniscope,1.0,rem,4.658901830282862,sleep
0,Ca_EEG_Pilot2,1.5mA,Miniscope,2.0,nrem,51.5686274509804,sleep
1,Ca_EEG_Pilot2,1.5mA,Miniscope,2.0,wake,46.666666666666664,wake
2,Ca_EEG_Pilot2,1.5mA,Miniscope,2.0,rem,1.7647058823529411,sleep
0,Ca_EEG_Pilot2,1.5mA,Miniscope,3.0,nrem,84.69217970049917,sleep
1,Ca_EEG_Pilot2,1.5mA,Miniscope,3.0,rem,10.149750415973378,sleep
2,Ca_EEG_Pilot2,1.5mA,Miniscope,3.0,wake,5.158069883527454,wake
0,Ca_EEG_Pilot2,1.5mA,Miniscope,4.0,nrem,56.57237936772047,sleep
1,Ca_EEG_Pilot2,1.5mA,Miniscope,4.0,wake,38.60232945091514,wake
2,Ca_EEG_Pilot2,1.5mA,Miniscope,4.0,rem,4.825291181364393,sleep
0,Ca_EEG_Pilot2,1.5mA,Miniscope,5.0,nrem,57.237936772046595,sleep
1,Ca_EEG_Pilot2,1.5mA,Miniscope,5.0,wake,32.77870216306156,wake
2,Ca_EEG_Pilot2,1.5mA,Miniscope,5.0,rem,9.983361064891847,sleep
0,Ca_EEG_Pilot2,1.5mA,Miniscope,6.0,nrem,86.18968386023295,sleep
1,Ca_EEG_Pilot2,1.5mA,Miniscope,6.0,rem,9.484193011647255,sleep
2,Ca_EEG_Pilot2,1.5mA,Miniscope,6.0,wake,4.326123128119801,wake
0,Ca_EEG_Pilot2,1.5mA,Miniscope,7.0,nrem,71.3810316139767,sleep
1,Ca_EEG_Pilot2,1.5mA,Miniscope,7.0,wake,20.798668885191347,wake
2,Ca_EEG_Pilot2,1.5mA,Miniscope,7.0,rem,7.820299500831947,sleep
0,Ca_EEG_Pilot2,1.5mA,Miniscope,8.0,wake,59.567387687188024,wake
1,Ca_EEG_Pilot2,1.5mA,Miniscope,8.0,nrem,35.108153078202996,sleep
2,Ca_EEG_Pilot2,1.5mA,Miniscope,8.0,rem,5.324459234608985,sleep
0,Ca_EEG_Pilot2,1.5mA,Miniscope,9.0,nrem,85.69051580698836,sleep
1,Ca_EEG_Pilot2,1.5mA,Miniscope,9.0,rem,10.149750415973378,sleep
2,Ca_EEG_Pilot2,1.5mA,Miniscope,9.0,wake,4.159733777038269,wake
0,Ca_EEG_Pilot2,1.5mA,Miniscope,10.0,wake,75.04159733777038,wake
1,Ca_EEG_Pilot2,1.5mA,Miniscope,10.0,nrem,20.465890183028286,sleep
2,Ca_EEG_Pilot2,1.5mA,Miniscope,10.0,rem,4.492512479201332,sleep
0,Ca_EEG_Pilot2,1.5mA,Miniscope,11.0,nrem,77.70382695507487,sleep
1,Ca_EEG_Pilot2,1.5mA,Miniscope,11.0,wake,12.645590682196339,wake
2,Ca_EEG_Pilot2,1.5mA,Miniscope,11.0,rem,9.650582362728786,sleep
0,Ca_EEG_Pilot2,1.5mA,Miniscope,12.0,wake,53.244592346089846,wake
1,Ca_EEG_Pilot2,1.5mA,Miniscope,12.0,nrem,42.76206322795341,sleep
2,Ca_EEG_Pilot2,1.5mA,Miniscope,12.0,rem,3.9933444259567388,sleep
0,Ca_EEG_Pilot2,1.5mA,Miniscope,13.0,wake,65.72379367720465,wake
1,Ca_EEG_Pilot2,1.5mA,Miniscope,13.0,nrem,33.94342762063228,sleep
2,Ca_EEG_Pilot2,1.5mA,Miniscope,13.0,rem,0.33277870216306155,sleep
0,Ca_EEG_Pilot2,1.5mA,Miniscope,14.0,wake,76.70549084858568,wake
1,Ca_EEG_Pilot2,1.5mA,Miniscope,14.0,nrem,22.129783693843592,sleep
2,Ca_EEG_Pilot2,1.5mA,Miniscope,14.0,rem,1.1647254575707155,sleep
0,Ca_EEG_Pilot2,1.5mA,Miniscope,15.0,nrem,49.58402662229617,sleep
1,Ca_EEG_Pilot2,1.5mA,Miniscope,15.0,wake,44.592346089850246,wake
2,Ca_EEG_Pilot2,1.5mA,Miniscope,15.0,rem,5.823627287853577,sleep
