,Mouse,Amplitude,SleepState,Proportion
3,Ca_EEG2-1,1.5mA,rem,5.02312510977109
4,Ca_EEG2-1,1.5mA,nrem,42.84702300802061
5,Ca_EEG2-1,1.5mA,wake,52.1298518822083
9,Ca_EEG2-2,1.5mA,rem,7.4476269929551355
10,Ca_EEG2-2,1.5mA,nrem,51.44558769002595
11,Ca_EEG2-2,1.5mA,wake,41.10678531701891
15,Ca_EEG2-3,1.5mA,rem,5.28457545420838
16,Ca_EEG2-3,1.5mA,nrem,44.53930292918057
17,Ca_EEG2-3,1.5mA,wake,50.17612161661105
18,Ca_EEG3-1,0.25mA,rem,6.122745079073367
19,Ca_EEG3-1,0.25mA,nrem,45.97378729989843
20,Ca_EEG3-1,0.25mA,wake,47.90346762102819
24,Ca_EEG3-2,0.25mA,rem,6.773266592510197
25,Ca_EEG3-2,0.25mA,nrem,52.627919911012235
26,Ca_EEG3-2,0.25mA,wake,40.43242491657397
30,Ca_EEG3-3,0.25mA,rem,7.184835001853912
31,Ca_EEG3-3,0.25mA,nrem,60.0166852057842
32,Ca_EEG3-3,0.25mA,wake,32.79847979236188
36,Ca_EEG3-4,0.25mA,rem,13.135428253615126
37,Ca_EEG3-4,0.25mA,nrem,43.25222469410456
38,Ca_EEG3-4,0.25mA,wake,42.50324434556915
45,Ca_EEG_Pilot1,1.5mA,rem,3.395439377085651
46,Ca_EEG_Pilot1,1.5mA,nrem,50.04124953652206
47,Ca_EEG_Pilot1,1.5mA,wake,46.2713199851687
51,Ca_EEG_Pilot2,1.5mA,rem,3.2057842046718577
52,Ca_EEG_Pilot2,1.5mA,nrem,54.404894327030036
53,Ca_EEG_Pilot2,1.5mA,wake,42.389321468298114
