,Mouse,Direction,Freezing
0,1,Retrospective,47.29
1,2,Retrospective,59.71
2,3,Retrospective,46.8
3,4,Retrospective,67.678
4,5,Retrospective,23.363999999999997
5,6,Retrospective,42.834
6,7,Retrospective,27.034
7,8,Retrospective,47.822
8,9,Retrospective,42.788
9,10,Retrospective,37.366
10,11,Retrospective,49.068
11,12,Retrospective,46.322
12,13,Retrospective,58.39
13,14,Retrospective,83.312
14,15,Retrospective,37.344
15,16,Retrospective,50.45399999999999
16,17,Prospective,27.034000000000002
17,18,Prospective,48.076
18,19,Prospective,60.322
19,20,Prospective,62.653999999999996
20,21,Prospective,59.565999999999995
21,22,Prospective,64.334
22,23,Prospective,43.524
23,24,Prospective,21.432
24,25,Prospective,57.712
25,26,Prospective,46.734
26,27,Prospective,49.076
27,28,Prospective,41.065999999999995
28,29,Prospective,67.936
29,30,Prospective,60.89
30,31,Prospective,56.688
31,32,Prospective,79.63199999999999
32,33,Prospective,36.332
33,34,Prospective,59.489999999999995
34,35,Prospective,22.59
35,36,Prospective,31.688
