,Mouse,Direction,Context,Freezing
0,1,Retrospective,Neutral,49.298
1,2,Retrospective,Neutral,64.1
2,3,Retrospective,Neutral,54.624
3,4,Retrospective,Neutral,54.529999999999994
4,5,Retrospective,Neutral,8.434000000000001
5,6,Retrospective,Neutral,31.844
6,7,Retrospective,Neutral,38.144
7,8,Retrospective,Neutral,31.822000000000003
8,9,Retrospective,Novel,24.456
9,10,Retrospective,Novel,6.888
10,11,Retrospective,Novel,16.712
11,12,Retrospective,Novel,16.722
12,13,Retrospective,Novel,41.732
13,14,Retrospective,Novel,37.065999999999995
14,15,Retrospective,Novel,22.724
15,16,Retrospective,Novel,27.110000000000003
16,17,Prospective,Neutral,14.8
17,18,Prospective,Neutral,45.878
18,19,Prospective,Neutral,31.865999999999996
19,20,Prospective,Neutral,24.598
20,21,Prospective,Neutral,20.19
21,22,Prospective,Neutral,36.756
22,23,Prospective,Neutral,13.2
23,24,Prospective,Neutral,2.464
24,25,Prospective,Novel,19.166
25,26,Prospective,Novel,20.412
26,27,Prospective,Novel,25.356
27,28,Prospective,Novel,14.622
28,29,Prospective,Novel,48.122
29,30,Prospective,Novel,13.297999999999998
30,31,Prospective,Novel,24.044
31,32,Prospective,Novel,30.0
32,33,Prospective,Neutral,6.946
33,34,Prospective,Neutral,31.353999999999996
34,35,Prospective,Neutral,20.724
35,36,Prospective,Neutral,10.422
