,Mouse,Amplitude,Freezing
0,RLI5-1,LowShock,37.18062652743835
1,RLI5-2,HighShock,50.32752303763739
2,RLI5-3,LowShock,34.444814938312774
3,RLI5-4,HighShock,52.03956874513727
4,RLI5-5,LowShock,29.676558852950983
5,RLI5-6,HighShock,76.88632070230025
6,RLI5-7,LowShock,29.298655107257975
7,RLI5-8,HighShock,68.73333333333333
8,RLI5-9,LowShock,49.0052239635434
9,RLI5-10,HighShock,83.83905746359898
10,RLI6-1,LowShock,35.50789064236497
11,RLI6-2,HighShock,62.60975880849172
12,RLI6-3,LowShock,31.811618349439076
13,RLI6-4,HighShock,46.343631918204046
14,RLI6-6,HighShock,60.846854856634806
15,RLI6-8,LowShock,20.306768922974324
16,RLI6-9,HighShock,56.90153367414981
17,RLI6-10,LowShock,19.83994664888296
18,RLI6-11,HighShock,40.19117483605646
19,RLI6-12,LowShock,32.925744775455755
20,RLI8-3,HighShock,45.955555555555556
21,RLI8-6,HighShock,67.59670964873277
