,Mouse,Amplitude,Context,Freezing
0,RLI5-1,LowShock,Novel,23.774591530510172
1,RLI5-2,HighShock,Novel,35.95243387419426
2,RLI5-3,LowShock,Neutral,18.004000889086463
3,RLI5-4,HighShock,Neutral,51.62832055129488
4,RLI5-5,LowShock,Neutral,27.242414138046016
5,RLI5-6,HighShock,Novel,37.96244861682035
6,RLI5-7,LowShock,Novel,19.20426761502556
7,RLI5-8,HighShock,Neutral,62.15405135045015
8,RLI5-9,LowShock,Neutral,37.48610802400533
9,RLI5-10,HighShock,Neutral,68.34852189375417
10,RLI6-1,LowShock,Neutral,20.40453434096466
11,RLI6-2,HighShock,Neutral,30.962436096910423
12,RLI6-3,LowShock,Novel,16.2054018006002
13,RLI6-4,HighShock,Novel,28.46820809248555
14,RLI6-6,HighShock,Neutral,37.31940431206935
15,RLI6-8,LowShock,Novel,23.738608579684374
16,RLI6-9,HighShock,Novel,40.05334518781952
17,RLI6-10,LowShock,Neutral,37.645881960653554
18,RLI6-11,HighShock,Neutral,40.86917861509392
19,RLI6-12,LowShock,Novel,24.722098710538017
20,RLI8-3,HighShock,Novel,30.729050900200043
21,RLI8-6,HighShock,Neutral,46.22138252945099
0,RLI5-1,LowShock,Neutral,29.776592197399133
1,RLI5-2,HighShock,Neutral,43.355555555555554
2,RLI5-3,LowShock,Novel,27.575858619539847
3,RLI5-4,HighShock,Novel,34.081814139617606
4,RLI5-5,LowShock,Novel,33.444481493831276
5,RLI5-6,HighShock,Neutral,51.73946871179282
6,RLI5-7,LowShock,Neutral,29.184263169593244
7,RLI5-8,HighShock,Novel,41.80282316327665
8,RLI5-9,LowShock,Novel,25.241747249083026
9,RLI5-10,HighShock,Novel,42.258530621318215
10,RLI6-1,LowShock,Novel,19.951094809380905
11,RLI6-2,HighShock,Novel,24.363959560048883
12,RLI6-3,LowShock,Neutral,17.674522009782127
13,RLI6-4,HighShock,Neutral,29.484329851078016
14,RLI6-6,HighShock,Novel,31.64092878569048
15,RLI6-8,LowShock,Neutral,23.719017450261198
16,RLI6-9,HighShock,Neutral,64.04843906232641
17,RLI6-10,LowShock,Novel,19.884405913082137
18,RLI6-11,HighShock,Novel,35.72301878403913
19,RLI6-12,LowShock,Neutral,25.15562472209871
20,RLI8-3,HighShock,Neutral,27.542514171390465
21,RLI8-6,HighShock,Novel,29.457536682970208
