,Mouse,Amplitude,Ensemble,FractionOfParticipation
0,RLI5-1,LowShock,Neutral,1.8287715517241379
1,RLI5-1,LowShock,Remaining,1.3711117605039287
6,RLI5-2,HighShock,Neutral,0.9672923332911981
7,RLI5-2,HighShock,Remaining,0.648014811767126
8,RLI5-3,LowShock,Neutral,0.9945333596785878
9,RLI5-3,LowShock,Remaining,0.702791461412151
14,RLI5-4,HighShock,Neutral,3.8870424974188533
15,RLI5-4,HighShock,Remaining,2.6923107407099183
16,RLI5-5,LowShock,Neutral,3.559000107234195
17,RLI5-5,LowShock,Remaining,2.486200002649121
22,RLI5-6,HighShock,Neutral,1.0337497743999036
23,RLI5-6,HighShock,Remaining,1.3801958106522534
24,RLI5-7,LowShock,Neutral,3.392788427664775
25,RLI5-7,LowShock,Remaining,2.2106271425690665
30,RLI5-8,HighShock,Neutral,2.214116889040576
31,RLI5-8,HighShock,Remaining,1.443840157358447
32,RLI5-9,LowShock,Neutral,1.110649219201851
33,RLI5-9,LowShock,Remaining,1.0611598440545809
36,RLI6-1,LowShock,Neutral,3.2481866918953015
37,RLI6-1,LowShock,Remaining,2.5651802936366117
40,RLI6-10,LowShock,Neutral,1.7427303494957866
41,RLI6-10,LowShock,Remaining,1.6118617275113338
46,RLI6-11,HighShock,Neutral,2.024006558492784
47,RLI6-11,HighShock,Remaining,1.5038400344315443
50,RLI6-2,HighShock,Neutral,1.246986804642759
51,RLI6-2,HighShock,Remaining,1.314502908705807
54,RLI6-4,HighShock,Neutral,2.1465734899306503
55,RLI6-4,HighShock,Remaining,1.4341529532456234
58,RLI6-6,HighShock,Neutral,4.3293434768093775
59,RLI6-6,HighShock,Remaining,2.8423373050431477
