,Mouse,Amplitude,Ensemble,FractionOfParticipation
0,RLI5-1,LowShock,Aversive Only,1.6831791133127705
3,RLI5-1,LowShock,Remaining,1.0749306295645142
12,RLI5-2,HighShock,Aversive Only,0.6434104702225293
15,RLI5-2,HighShock,Remaining,0.7709274546991032
16,RLI5-3,LowShock,Aversive Only,0.6844522083799424
19,RLI5-3,LowShock,Remaining,0.7166627691532802
28,RLI5-4,HighShock,Aversive Only,3.6874253042155583
31,RLI5-4,HighShock,Remaining,2.7242340911247984
32,RLI5-5,LowShock,Aversive Only,3.0016435343592263
35,RLI5-5,LowShock,Remaining,2.609590117000846
44,RLI5-6,HighShock,Aversive Only,1.359628026294693
47,RLI5-6,HighShock,Remaining,1.2402047379625856
48,RLI5-7,LowShock,Aversive Only,2.082451602790188
51,RLI5-7,LowShock,Remaining,2.1361324002506223
60,RLI5-8,HighShock,Aversive Only,2.1482999158119
63,RLI5-8,HighShock,Remaining,1.6439806238012518
64,RLI5-9,LowShock,Aversive Only,2.3649881408502096
67,RLI5-9,LowShock,Remaining,1.0260406519903889
72,RLI6-1,LowShock,Aversive Only,2.5925925925925926
75,RLI6-1,LowShock,Remaining,1.9744966251631053
80,RLI6-10,LowShock,Aversive Only,2.467233540679868
83,RLI6-10,LowShock,Remaining,1.6806028546285483
92,RLI6-11,HighShock,Aversive Only,1.1498419388830348
95,RLI6-11,HighShock,Remaining,1.419586406743941
100,RLI6-2,HighShock,Aversive Only,1.566442600779184
103,RLI6-2,HighShock,Remaining,1.1500122034246663
108,RLI6-4,HighShock,Aversive Only,2.0413086084727876
111,RLI6-4,HighShock,Remaining,1.4403657388732016
116,RLI6-6,HighShock,Aversive Only,3.9617311849086265
119,RLI6-6,HighShock,Remaining,2.8139912932465956
