,Mouse,Amplitude,Ensemble,FractionOfParticipation
1,RLI5-1,LowShock,Overlap,1.369519353415184
3,RLI5-1,LowShock,Remaining,1.0749306295645142
13,RLI5-2,HighShock,Overlap,0.9379606810483553
15,RLI5-2,HighShock,Remaining,0.7709274546991032
17,RLI5-3,LowShock,Overlap,0.9326613257105604
19,RLI5-3,LowShock,Remaining,0.7166627691532802
29,RLI5-4,HighShock,Overlap,4.065978970040371
31,RLI5-4,HighShock,Remaining,2.7242340911247984
33,RLI5-5,LowShock,Overlap,4.116363968428896
35,RLI5-5,LowShock,Remaining,2.609590117000846
45,RLI5-6,HighShock,Overlap,1.0131389078757498
47,RLI5-6,HighShock,Remaining,1.2402047379625856
49,RLI5-7,LowShock,Overlap,2.798460346073795
51,RLI5-7,LowShock,Remaining,2.1361324002506223
61,RLI5-8,HighShock,Overlap,2.845972640063575
63,RLI5-8,HighShock,Remaining,1.6439806238012518
65,RLI5-9,LowShock,Overlap,1.3151927437641724
67,RLI5-9,LowShock,Remaining,1.0260406519903889
73,RLI6-1,LowShock,Overlap,4.654513070354654
75,RLI6-1,LowShock,Remaining,1.9744966251631053
81,RLI6-10,LowShock,Overlap,2.0951035781544256
83,RLI6-10,LowShock,Remaining,1.6806028546285483
93,RLI6-11,HighShock,Overlap,1.9334719334719337
95,RLI6-11,HighShock,Remaining,1.419586406743941
101,RLI6-2,HighShock,Overlap,1.130178103751812
103,RLI6-2,HighShock,Remaining,1.1500122034246663
109,RLI6-4,HighShock,Overlap,2.2503760268425315
111,RLI6-4,HighShock,Remaining,1.4403657388732016
117,RLI6-6,HighShock,Overlap,4.159701801328425
119,RLI6-6,HighShock,Remaining,2.8139912932465956
