,Mouse,Amplitude,Ensemble,FractionOfParticipation
2,RLI5-1,LowShock,Neutral Only,1.818742888001697
3,RLI5-1,LowShock,Remaining,1.0749306295645142
14,RLI5-2,HighShock,Neutral Only,0.7796129997861877
15,RLI5-2,HighShock,Remaining,0.7709274546991032
18,RLI5-3,LowShock,Neutral Only,0.8930333216638554
19,RLI5-3,LowShock,Remaining,0.7166627691532802
30,RLI5-4,HighShock,Neutral Only,3.865015651989755
31,RLI5-4,HighShock,Remaining,2.7242340911247984
34,RLI5-5,LowShock,Neutral Only,3.2538763430483173
35,RLI5-5,LowShock,Remaining,2.609590117000846
46,RLI5-6,HighShock,Neutral Only,2.143513052603962
47,RLI5-6,HighShock,Remaining,1.2402047379625856
50,RLI5-7,LowShock,Neutral Only,2.02637710279375
51,RLI5-7,LowShock,Remaining,2.1361324002506223
62,RLI5-8,HighShock,Neutral Only,2.4116763203786746
63,RLI5-8,HighShock,Remaining,1.6439806238012518
66,RLI5-9,LowShock,Neutral Only,1.1116323924205698
67,RLI5-9,LowShock,Remaining,1.0260406519903889
74,RLI6-1,LowShock,Neutral Only,2.1784470113678034
75,RLI6-1,LowShock,Remaining,1.9744966251631053
82,RLI6-10,LowShock,Neutral Only,1.3165553843519946
83,RLI6-10,LowShock,Remaining,1.6806028546285483
94,RLI6-11,HighShock,Neutral Only,1.9356407554510822
95,RLI6-11,HighShock,Remaining,1.419586406743941
102,RLI6-2,HighShock,Neutral Only,1.5653702133672458
103,RLI6-2,HighShock,Remaining,1.1500122034246663
110,RLI6-4,HighShock,Neutral Only,1.8625789969073552
111,RLI6-4,HighShock,Remaining,1.4403657388732016
118,RLI6-6,HighShock,Neutral Only,3.8338434757030386
119,RLI6-6,HighShock,Remaining,2.8139912932465956
