,Mouse,Amplitude,Ensemble,Fraction
0,RLI5-1,LowShock,Overlap,20.2106115836371
1,RLI5-1,LowShock,Neutral,14.43904414742811
2,RLI5-1,LowShock,Aversive,12.23167274200081
0,RLI5-2,HighShock,Overlap,23.687580025608195
1,RLI5-2,HighShock,Neutral,13.743064447289798
2,RLI5-2,HighShock,Aversive,11.694408877507469
0,RLI5-3,LowShock,Overlap,24.782788580885395
1,RLI5-3,LowShock,Neutral,12.743069921390154
2,RLI5-3,LowShock,Aversive,14.997931319817956
0,RLI5-4,HighShock,Overlap,15.754019991308127
1,RLI5-4,HighShock,Neutral,10.864841373315949
2,RLI5-4,HighShock,Aversive,7.062146892655368
0,RLI5-5,LowShock,Overlap,23.663385446824936
1,RLI5-5,LowShock,Neutral,12.121212121212121
2,RLI5-5,LowShock,Aversive,8.222350897510132
0,RLI5-6,HighShock,Overlap,10.129870129870131
1,RLI5-6,HighShock,Neutral,12.005772005772005
2,RLI5-6,HighShock,Aversive,7.33044733044733
0,RLI5-7,LowShock,Overlap,25.55842934399248
1,RLI5-7,LowShock,Neutral,6.301434281683517
2,RLI5-7,LowShock,Aversive,17.54055960498472
0,RLI5-8,HighShock,Overlap,16.292974588938712
1,RLI5-8,HighShock,Neutral,14.162929745889388
2,RLI5-8,HighShock,Aversive,11.547085201793722
0,RLI5-9,LowShock,Overlap,17.651888341543515
1,RLI5-9,LowShock,Neutral,9.770114942528735
2,RLI5-9,LowShock,Aversive,15.654077723043242
0,RLI6-1,LowShock,Overlap,14.283094976164284
1,RLI6-1,LowShock,Neutral,13.274660799413274
2,RLI6-1,LowShock,Aversive,11.404473780711404
0,RLI6-2,HighShock,Overlap,25.024727992087044
1,RLI6-2,HighShock,Neutral,12.636003956478733
2,RLI6-2,HighShock,Aversive,12.908011869436201
0,RLI6-4,HighShock,Overlap,21.71144278606965
1,RLI6-4,HighShock,Neutral,11.781094527363184
2,RLI6-4,HighShock,Aversive,10.16915422885572
0,RLI6-6,HighShock,Overlap,15.091373550795833
1,RLI6-6,HighShock,Neutral,11.082727451365692
2,RLI6-6,HighShock,Aversive,8.822951463941834
0,RLI6-10,LowShock,Overlap,23.703133025166924
1,RLI6-10,LowShock,Neutral,8.371854134566
2,RLI6-10,LowShock,Aversive,11.633281972265024
0,RLI6-11,HighShock,Overlap,23.28767123287671
1,RLI6-11,HighShock,Neutral,15.216016859852477
2,RLI6-11,HighShock,Aversive,9.567966280295046
