,Mouse,Amplitude,Ensemble,Fraction
3,RLI5-1,LowShock,Overlap x Neutral,8.869987849331713
4,RLI5-1,LowShock,Overlap x Aversive,8.059943296881327
3,RLI5-2,HighShock,Overlap x Neutral,9.539052496798977
4,RLI5-2,HighShock,Overlap x Aversive,6.508749466495946
3,RLI5-3,LowShock,Overlap x Neutral,7.90235829540753
4,RLI5-3,LowShock,Overlap x Aversive,7.074886222589988
3,RLI5-4,HighShock,Overlap x Neutral,14.667535853976531
4,RLI5-4,HighShock,Overlap x Aversive,9.669708822251195
3,RLI5-5,LowShock,Overlap x Neutral,13.317892298784017
4,RLI5-5,LowShock,Overlap x Aversive,11.252653927813164
3,RLI5-6,HighShock,Overlap x Neutral,4.559884559884559
4,RLI5-6,HighShock,Overlap x Aversive,1.1832611832611835
3,RLI5-7,LowShock,Overlap x Neutral,5.525511403715025
4,RLI5-7,LowShock,Overlap x Aversive,12.367740418528097
3,RLI5-8,HighShock,Overlap x Neutral,12.985799701046338
4,RLI5-8,HighShock,Overlap x Aversive,9.005979073243648
3,RLI5-9,LowShock,Overlap x Neutral,4.050355774493705
4,RLI5-9,LowShock,Overlap x Aversive,6.486042692939245
3,RLI6-1,LowShock,Overlap x Neutral,3.758709204253759
4,RLI6-1,LowShock,Overlap x Aversive,2.915291529152915
3,RLI6-2,HighShock,Overlap x Neutral,8.852621167161226
4,RLI6-2,HighShock,Overlap x Aversive,7.344213649851632
3,RLI6-4,HighShock,Overlap x Neutral,9.233830845771145
4,RLI6-4,HighShock,Overlap x Aversive,7.522388059701493
3,RLI6-6,HighShock,Overlap x Neutral,17.48870112006288
4,RLI6-6,HighShock,Overlap x Aversive,9.628610729023384
3,RLI6-10,LowShock,Overlap x Neutral,7.498715973292244
4,RLI6-10,LowShock,Overlap x Aversive,11.299435028248588
3,RLI6-11,HighShock,Overlap x Neutral,8.893572181243414
4,RLI6-11,HighShock,Overlap x Aversive,6.42781875658588
