,Mouse,Amplitude,Ensemble,Fraction
3,RLI5-1,LowShock,Overlap x Neutral,0.21540431972987134
4,RLI5-1,LowShock,Overlap x Aversive,0.2289883759290524
3,RLI5-2,HighShock,Overlap x Neutral,0.12873376309115897
4,RLI5-2,HighShock,Overlap x Aversive,0.09388853398377761
3,RLI5-3,LowShock,Overlap x Neutral,0.15024329721032123
4,RLI5-3,LowShock,Overlap x Aversive,0.09693115949052983
3,RLI5-4,HighShock,Overlap x Neutral,0.21470434631230775
4,RLI5-4,HighShock,Overlap x Aversive,0.24371844716532237
3,RLI5-5,LowShock,Overlap x Neutral,0.14977776481000593
4,RLI5-5,LowShock,Overlap x Aversive,0.24703605364767212
3,RLI5-6,HighShock,Overlap x Neutral,0.10905438369923949
4,RLI5-6,HighShock,Overlap x Aversive,0.03348160903046827
3,RLI5-7,LowShock,Overlap x Neutral,0.18699335884411117
4,RLI5-7,LowShock,Overlap x Aversive,0.23904305666669878
3,RLI5-8,HighShock,Overlap x Neutral,0.2562154157898839
4,RLI5-8,HighShock,Overlap x Aversive,0.2688800561140987
3,RLI5-9,LowShock,Overlap x Neutral,0.06229275678991049
4,RLI5-9,LowShock,Overlap x Aversive,0.06325110689437065
3,RLI6-1,LowShock,Overlap x Neutral,0.1716302927466698
4,RLI6-1,LowShock,Overlap x Aversive,0.1560275388606089
3,RLI6-2,HighShock,Overlap x Neutral,0.12890068875293395
4,RLI6-2,HighShock,Overlap x Aversive,0.1365962522605718
3,RLI6-4,HighShock,Overlap x Neutral,0.24277737314882253
4,RLI6-4,HighShock,Overlap x Aversive,0.19325078902646273
3,RLI6-6,HighShock,Overlap x Neutral,0.26722119112631304
4,RLI6-6,HighShock,Overlap x Aversive,0.22640922739065794
3,RLI6-10,LowShock,Overlap x Neutral,0.2180469905673064
4,RLI6-10,LowShock,Overlap x Aversive,0.20267803969031564
3,RLI6-11,HighShock,Overlap x Neutral,0.16173550917631108
4,RLI6-11,HighShock,Overlap x Aversive,0.2043484577018062
