,Mouse,Amplitude,SleepState,EnsembleCombo,Fraction
3,Ca_EEG_Pilot1,HighShock,nrem,Overlap x Neutral,17.589285714285715
4,Ca_EEG_Pilot1,HighShock,nrem,Overlap x Aversive,10.982142857142858
3,Ca_EEG_Pilot1,HighShock,rem,Overlap x Neutral,18.281535648994517
4,Ca_EEG_Pilot1,HighShock,rem,Overlap x Aversive,6.764168190127971
3,Ca_EEG_Pilot1,HighShock,wake,Overlap x Neutral,16.22680061297463
4,Ca_EEG_Pilot1,HighShock,wake,Overlap x Aversive,10.11408138940916
3,Ca_EEG_Pilot2,HighShock,nrem,Overlap x Neutral,24.834437086092713
4,Ca_EEG_Pilot2,HighShock,nrem,Overlap x Aversive,14.56953642384106
3,Ca_EEG_Pilot2,HighShock,rem,Overlap x Neutral,37.5
4,Ca_EEG_Pilot2,HighShock,rem,Overlap x Aversive,0.0
3,Ca_EEG_Pilot2,HighShock,wake,Overlap x Neutral,18.90547263681592
4,Ca_EEG_Pilot2,HighShock,wake,Overlap x Aversive,9.203980099502488
3,Ca_EEG2-1,HighShock,nrem,Overlap x Neutral,7.142857142857142
4,Ca_EEG2-1,HighShock,nrem,Overlap x Aversive,14.198606271777003
3,Ca_EEG2-1,HighShock,rem,Overlap x Neutral,3.3980582524271843
4,Ca_EEG2-1,HighShock,rem,Overlap x Aversive,7.281553398058252
3,Ca_EEG2-1,HighShock,wake,Overlap x Neutral,10.36691904484566
4,Ca_EEG2-1,HighShock,wake,Overlap x Aversive,8.38672102504368
3,Ca_EEG2-2,HighShock,nrem,Overlap x Neutral,17.96233703524867
4,Ca_EEG2-2,HighShock,nrem,Overlap x Aversive,13.61661033317238
3,Ca_EEG2-2,HighShock,rem,Overlap x Neutral,12.416851441241686
4,Ca_EEG2-2,HighShock,rem,Overlap x Aversive,13.858093126385809
3,Ca_EEG2-2,HighShock,wake,Overlap x Neutral,17.20197652872143
4,Ca_EEG2-2,HighShock,wake,Overlap x Aversive,9.944410129709699
3,Ca_EEG2-3,HighShock,nrem,Overlap x Neutral,11.899313501144166
4,Ca_EEG2-3,HighShock,nrem,Overlap x Aversive,17.162471395881006
3,Ca_EEG2-3,HighShock,rem,Overlap x Neutral,12.1875
4,Ca_EEG2-3,HighShock,rem,Overlap x Aversive,15.156249999999998
3,Ca_EEG2-3,HighShock,wake,Overlap x Neutral,17.12861123331867
4,Ca_EEG2-3,HighShock,wake,Overlap x Aversive,7.772400645255903
3,Ca_EEG3-1,LowShock,nrem,Overlap x Neutral,19.28216876670485
4,Ca_EEG3-1,LowShock,nrem,Overlap x Aversive,19.091256204658265
3,Ca_EEG3-1,LowShock,rem,Overlap x Neutral,15.892857142857142
4,Ca_EEG3-1,LowShock,rem,Overlap x Aversive,20.892857142857142
3,Ca_EEG3-1,LowShock,wake,Overlap x Neutral,18.79710813720966
4,Ca_EEG3-1,LowShock,wake,Overlap x Aversive,14.320873711736656
3,Ca_EEG3-2,LowShock,nrem,Overlap x Neutral,19.279060348319156
4,Ca_EEG3-2,LowShock,nrem,Overlap x Aversive,18.469015795868774
3,Ca_EEG3-2,LowShock,rem,Overlap x Neutral,16.514954486345903
4,Ca_EEG3-2,LowShock,rem,Overlap x Aversive,12.873862158647595
3,Ca_EEG3-2,LowShock,wake,Overlap x Neutral,23.162032319114864
4,Ca_EEG3-2,LowShock,wake,Overlap x Aversive,12.272528752365702
3,Ca_EEG3-3,LowShock,nrem,Overlap x Neutral,9.924709103353866
4,Ca_EEG3-3,LowShock,nrem,Overlap x Aversive,6.399726214921286
3,Ca_EEG3-3,LowShock,rem,Overlap x Neutral,6.024096385542169
4,Ca_EEG3-3,LowShock,rem,Overlap x Aversive,4.350736278447122
3,Ca_EEG3-3,LowShock,wake,Overlap x Neutral,13.226521220385207
4,Ca_EEG3-3,LowShock,wake,Overlap x Aversive,8.60746548491563
3,Ca_EEG3-4,LowShock,nrem,Overlap x Neutral,10.57810578105781
4,Ca_EEG3-4,LowShock,nrem,Overlap x Aversive,21.27921279212792
3,Ca_EEG3-4,LowShock,rem,Overlap x Neutral,14.285714285714285
4,Ca_EEG3-4,LowShock,rem,Overlap x Aversive,19.39163498098859
3,Ca_EEG3-4,LowShock,wake,Overlap x Neutral,14.347224357988619
4,Ca_EEG3-4,LowShock,wake,Overlap x Aversive,18.99123481470091
