,Mouse,Amplitude,SessionPair,Corr
0,RLI5-1,LowShock,Aversive,0.2586855391606281
1,RLI5-1,LowShock,Neutral,0.250686465713835
2,RLI5-2,HighShock,Aversive,0.18594386764115636
3,RLI5-2,HighShock,Neutral,0.16661085551525906
4,RLI5-4,HighShock,Aversive,0.24528908102757638
5,RLI5-4,HighShock,Neutral,0.15393304509001776
6,RLI5-5,LowShock,Aversive,0.3765470673463106
7,RLI5-5,LowShock,Neutral,0.401462339763291
8,RLI5-6,HighShock,Aversive,0.24285978558815935
9,RLI5-6,HighShock,Neutral,0.09950721079151024
10,RLI5-7,LowShock,Aversive,0.39675110916247086
11,RLI5-7,LowShock,Neutral,0.31311434908498337
12,RLI5-8,HighShock,Aversive,0.31985425657020794
13,RLI5-8,HighShock,Neutral,0.19953522688619352
14,RLI5-9,LowShock,Aversive,0.16567327044515345
15,RLI5-9,LowShock,Neutral,0.21999445504709536
16,RLI6-1,LowShock,Aversive,0.21490416684590166
17,RLI6-1,LowShock,Neutral,0.19626377687806948
18,RLI6-10,LowShock,Aversive,0.3563010617054744
19,RLI6-10,LowShock,Neutral,0.36160193252016154
20,RLI6-11,HighShock,Aversive,0.23663568722927614
21,RLI6-11,HighShock,Neutral,0.18848526873418905
22,RLI6-2,HighShock,Aversive,0.25395740474971484
23,RLI6-2,HighShock,Neutral,0.21847494341224977
24,RLI6-4,HighShock,Aversive,0.24678983089041678
25,RLI6-4,HighShock,Neutral,0.20535795129052978
26,RLI6-6,HighShock,Aversive,0.25779076717542415
27,RLI6-6,HighShock,Neutral,0.22503963529362378
